Dates,PX_LAST
1/1/2016,1.4746
1/4/2016,1.4716
1/5/2016,1.4675
1/6/2016,1.463
1/7/2016,1.4618
1/8/2016,1.4517
1/11/2016,1.4543
1/12/2016,1.4448
1/13/2016,1.4407
1/14/2016,1.4413
1/15/2016,1.4258
1/18/2016,1.4243
1/19/2016,1.4158
1/20/2016,1.4192
1/21/2016,1.4221
1/22/2016,1.4265
1/25/2016,1.4249
1/26/2016,1.435
1/27/2016,1.4234
1/28/2016,1.4362
1/29/2016,1.4244
2/1/2016,1.4433
2/2/2016,1.441
2/3/2016,1.4603
2/4/2016,1.4589
2/5/2016,1.4503
2/8/2016,1.4433
2/9/2016,1.4472
2/10/2016,1.4522
2/11/2016,1.4477
2/12/2016,1.4503
2/15/2016,1.4435
2/16/2016,1.4306
2/17/2016,1.4294
2/18/2016,1.4337
2/19/2016,1.4406
2/22/2016,1.415
2/23/2016,1.4022
2/24/2016,1.3927
2/25/2016,1.3962
2/26/2016,1.3871
2/29/2016,1.3917
3/1/2016,1.3952
3/2/2016,1.4078
3/3/2016,1.4178
3/4/2016,1.4229
3/7/2016,1.4265
3/8/2016,1.4215
3/9/2016,1.4217
3/10/2016,1.4281
3/11/2016,1.4382
3/14/2016,1.4302
3/15/2016,1.4151
3/16/2016,1.4259
3/17/2016,1.4482
3/18/2016,1.4476
3/21/2016,1.4369
3/22/2016,1.4208
3/23/2016,1.4117
3/24/2016,1.4153
3/25/2016,1.4132
3/28/2016,1.4254
3/29/2016,1.4384
3/30/2016,1.4378
3/31/2016,1.436
4/1/2016,1.4227
4/4/2016,1.4264
4/5/2016,1.4161
4/6/2016,1.4123
4/7/2016,1.4056
4/8/2016,1.4128
4/11/2016,1.4239
4/12/2016,1.4275
4/13/2016,1.4204
4/14/2016,1.4155
4/15/2016,1.4202
4/18/2016,1.4278
4/19/2016,1.4398
4/20/2016,1.4332
4/21/2016,1.4323
4/22/2016,1.4403
4/25/2016,1.4482
4/26/2016,1.4582
4/27/2016,1.4543
4/28/2016,1.4609
4/29/2016,1.4612
5/2/2016,1.4673
5/3/2016,1.4535
5/4/2016,1.4496
5/5/2016,1.4485
5/6/2016,1.4427
5/9/2016,1.4407
5/10/2016,1.4442
5/11/2016,1.4448
5/12/2016,1.4451
5/13/2016,1.4365
5/16/2016,1.4402
5/17/2016,1.4463
5/18/2016,1.4599
5/19/2016,1.4611
5/20/2016,1.4502
5/23/2016,1.4484
5/24/2016,1.4636
5/25/2016,1.4697
5/26/2016,1.467
5/27/2016,1.4623
5/30/2016,1.464
5/31/2016,1.4483
6/1/2016,1.4416
6/2/2016,1.4423
6/3/2016,1.4518
6/6/2016,1.4442
6/7/2016,1.4545
6/8/2016,1.4504
6/9/2016,1.4458
6/10/2016,1.4257
6/13/2016,1.427
6/14/2016,1.4114
6/15/2016,1.4204
6/16/2016,1.4203
6/17/2016,1.4358
6/20/2016,1.4698
6/21/2016,1.4652
