Dates,PX_LAST
1/1/2016,0.7303
1/4/2016,0.7191
1/5/2016,0.7161
1/6/2016,0.7072
1/7/2016,0.7012
1/8/2016,0.6953
1/11/2016,0.6995
1/12/2016,0.6986
1/13/2016,0.6955
1/14/2016,0.6985
1/15/2016,0.6864
1/18/2016,0.6866
1/19/2016,0.6909
1/20/2016,0.6908
1/21/2016,0.6999
1/22/2016,0.7002
1/25/2016,0.6955
1/26/2016,0.7005
1/27/2016,0.7027
1/28/2016,0.7084
1/29/2016,0.7084
2/1/2016,0.7114
2/2/2016,0.7039
2/3/2016,0.7169
2/4/2016,0.7201
2/5/2016,0.7067
2/8/2016,0.7087
2/9/2016,0.707
2/10/2016,0.7095
2/11/2016,0.7109
2/12/2016,0.7112
2/15/2016,0.7139
2/16/2016,0.7111
2/17/2016,0.7185
2/18/2016,0.7157
2/19/2016,0.7148
2/22/2016,0.7227
2/23/2016,0.7202
2/24/2016,0.7196
2/25/2016,0.7236
2/26/2016,0.7126
2/29/2016,0.7141
3/1/2016,0.7175
3/2/2016,0.7295
3/3/2016,0.7352
3/4/2016,0.7439
3/7/2016,0.7469
3/8/2016,0.7439
3/9/2016,0.7486
3/10/2016,0.7454
3/11/2016,0.7565
3/14/2016,0.7515
3/15/2016,0.7457
3/16/2016,0.7553
3/17/2016,0.7649
3/18/2016,0.7608
3/21/2016,0.7578
3/22/2016,0.7622
3/23/2016,0.7532
3/24/2016,0.7528
3/25/2016,0.7507
3/28/2016,0.7545
3/29/2016,0.7627
3/30/2016,0.7671
3/31/2016,0.7657
4/1/2016,0.7677
4/4/2016,0.7605
4/5/2016,0.7543
4/6/2016,0.7599
4/7/2016,0.7505
4/8/2016,0.7556
4/11/2016,0.7595
4/12/2016,0.7684
4/13/2016,0.7653
4/14/2016,0.7695
4/15/2016,0.7725
4/18/2016,0.775
4/19/2016,0.7813
4/20/2016,0.7794
4/21/2016,0.7738
4/22/2016,0.7708
4/25/2016,0.7715
4/26/2016,0.7749
4/27/2016,0.7591
4/28/2016,0.7625
4/29/2016,0.7603
5/2/2016,0.7667
5/3/2016,0.7485
5/4/2016,0.7457
5/5/2016,0.7465
5/6/2016,0.7366
5/9/2016,0.7316
5/10/2016,0.7363
5/11/2016,0.7375
5/12/2016,0.7325
5/13/2016,0.7271
5/16/2016,0.7289
5/17/2016,0.7325
5/18/2016,0.7229
5/19/2016,0.7228
5/20/2016,0.7222
5/23/2016,0.7224
5/24/2016,0.7183
5/25/2016,0.7198
5/26/2016,0.7226
5/27/2016,0.7182
5/30/2016,0.7183
5/31/2016,0.7234
6/1/2016,0.7257
6/2/2016,0.7229
6/3/2016,0.7367
6/6/2016,0.7366
6/7/2016,0.7459
6/8/2016,0.7471
6/9/2016,0.7431
6/10/2016,0.7373
6/13/2016,0.7387
6/14/2016,0.7358
6/15/2016,0.7407
6/16/2016,0.7363
6/17/2016,0.7387
6/20/2016,0.7457
6/21/2016,0.745
6/22/2016,0.7501
6/23/2016,0.7613
6/24/2016,0.7466
6/27/2016,0.733
6/28/2016,0.7386
6/29/2016,0.7451
6/30/2016,0.7451
7/1/2016,0.7498
7/4/2016,0.7538
7/5/2016,0.7463
7/6/2016,0.752
7/7/2016,0.7479
7/8/2016,0.7569
7/11/2016,0.7532
7/12/2016,0.7623
7/13/2016,0.7608
7/14/2016,0.7632
7/15/2016,0.7578
7/18/2016,0.7591
7/19/2016,0.7504
7/20/2016,0.7478
7/21/2016,0.7495
7/22/2016,0.7462
7/25/2016,0.747
7/26/2016,0.7502
7/27/2016,0.7491
7/28/2016,0.7503
7/29/2016,0.7596
8/1/2016,0.7536
8/2/2016,0.7609
8/3/2016,0.7588
8/4/2016,0.7628
8/5/2016,0.7619
8/8/2016,0.7651
8/9/2016,0.7673
8/10/2016,0.7703
8/11/2016,0.7699
8/12/2016,0.7652
8/15/2016,0.7674
8/16/2016,0.7695
8/17/2016,0.7655
8/18/2016,0.7686
8/19/2016,0.7627
8/22/2016,0.7626
8/23/2016,0.7615
8/24/2016,0.7613
8/25/2016,0.7618
8/26/2016,0.7564
8/29/2016,0.7569
8/30/2016,0.7509
8/31/2016,0.7517
9/1/2016,0.7551
9/2/2016,0.7573
9/5/2016,0.7582
9/6/2016,0.7687
9/7/2016,0.7673
9/8/2016,0.7643
9/9/2016,0.7541
9/12/2016,0.7566
9/13/2016,0.7464
9/14/2016,0.7469
9/15/2016,0.7515
9/16/2016,0.7491
9/19/2016,0.7534
9/20/2016,0.7556
9/21/2016,0.7624
9/22/2016,0.7643
9/23/2016,0.7623
9/26/2016,0.7636
9/27/2016,0.7667
9/28/2016,0.7692
9/29/2016,0.7636
9/30/2016,0.7664
10/3/2016,0.7675
10/4/2016,0.762
10/5/2016,0.7622
10/6/2016,0.7585
10/7/2016,0.7582
10/10/2016,0.7607
10/11/2016,0.7539
10/12/2016,0.7562
10/13/2016,0.7569
10/14/2016,0.7618
10/17/2016,0.7629
10/18/2016,0.7666
10/19/2016,0.7722
10/20/2016,0.7627
10/21/2016,0.7608
10/24/2016,0.7611
10/25/2016,0.7646
10/26/2016,0.7651
10/27/2016,0.7589
10/28/2016,0.7599
10/31/2016,0.7609
11/1/2016,0.7652
11/2/2016,0.7661
11/3/2016,0.7682
11/4/2016,0.7673
11/7/2016,0.7728
11/8/2016,0.7762
11/9/2016,0.7635
11/10/2016,0.7613
11/11/2016,0.7546
11/14/2016,0.7554
11/15/2016,0.7559
11/16/2016,0.748
11/17/2016,0.7406
11/18/2016,0.7338
11/21/2016,0.7369
11/22/2016,0.7402
11/23/2016,0.7385
11/24/2016,0.7408
11/25/2016,0.7443
11/28/2016,0.7482
11/29/2016,0.7484
11/30/2016,0.7385
12/1/2016,0.7415
12/2/2016,0.7457
12/5/2016,0.7472
12/6/2016,0.7461
12/7/2016,0.7482
12/8/2016,0.7463
12/9/2016,0.7449
12/12/2016,0.7497
12/13/2016,0.75
12/14/2016,0.7406
12/15/2016,0.7358
12/16/2016,0.7304
12/19/2016,0.7245
12/20/2016,0.7259
12/21/2016,0.7238
12/22/2016,0.7217
12/23/2016,0.7176
12/26/2016,0.7192
12/27/2016,0.7185
12/28/2016,0.7177
12/29/2016,0.7219
12/30/2016,0.7208
1/2/2017,0.7184
1/3/2017,0.7219
1/4/2017,0.7283
1/5/2017,0.7338
1/6/2017,0.7301
1/9/2017,0.7354
1/10/2017,0.7368
1/11/2017,0.7441
1/12/2017,0.7484
1/13/2017,0.7502
1/16/2017,0.7477
1/17/2017,0.7567
1/18/2017,0.7505
1/19/2017,0.7561
1/20/2017,0.7555
1/23/2017,0.7584
1/24/2017,0.7582
1/25/2017,0.7572
1/26/2017,0.7535
1/27/2017,0.7551
1/30/2017,0.7555
1/31/2017,0.7585
2/1/2017,0.7586
2/2/2017,0.7658
2/3/2017,0.768
2/6/2017,0.766
2/7/2017,0.7628
2/8/2017,0.7645
2/9/2017,0.7625
2/10/2017,0.7674
2/13/2017,0.764
2/14/2017,0.7663
2/15/2017,0.771
2/16/2017,0.7694
2/17/2017,0.7664
2/20/2017,0.7688
2/21/2017,0.7675
2/22/2017,0.7703
2/23/2017,0.7715
2/24/2017,0.7676
2/27/2017,0.7673
2/28/2017,0.7657
3/1/2017,0.7677
3/2/2017,0.7572
3/3/2017,0.7596
3/6/2017,0.7579
3/7/2017,0.7588
3/8/2017,0.7528
3/9/2017,0.7506
3/10/2017,0.7542
3/13/2017,0.7571
3/14/2017,0.7559
3/15/2017,0.7709
3/16/2017,0.7678
3/17/2017,0.7704
3/20/2017,0.7731
3/21/2017,0.7691
3/22/2017,0.7678
3/23/2017,0.7627
3/24/2017,0.7623
3/27/2017,0.7618
3/28/2017,0.7633
3/29/2017,0.767
