Dates,PX_LAST
1/4/2016,36.386
1/5/2016,35.9376
1/6/2016,34.8533
1/7/2016,33.182
1/8/2016,34.1603
1/11/2016,33.0189
1/12/2016,31.9183
1/13/2016,32.2444
1/14/2016,31.6737
1/15/2016,32.2118
1/18/2016,31.5433
1/19/2016,31.6492
1/20/2016,30.7769
1/21/2016,31.2742
1/22/2016,32.3259
1/25/2016,31.9264
1/27/2016,31.0704
1/28/2016,31.7389
1/29/2016,31.902
2/1/2016,31.7715
2/2/2016,30.6057
2/3/2016,30.1899
2/4/2016,32.8803
2/5/2016,33.932
2/8/2016,34.6739
2/9/2016,34.2418
2/10/2016,33.8423
2/11/2016,33.4184
2/12/2016,32.9945
2/15/2016,34.4212
2/16/2016,35.2202
2/17/2016,34.3315
2/18/2016,35.3832
2/19/2016,34.7473
2/22/2016,35.8642
2/23/2016,36.3779
2/24/2016,36.0093
2/25/2016,35.4094
2/26/2016,34.2782
2/29/2016,34.5182
3/1/2016,35.4351
3/2/2016,37.1062
3/3/2016,37.8774
3/4/2016,38.4773
3/7/2016,39.8227
3/8/2016,38.7858
3/9/2016,37.9631
3/10/2016,38.3316
3/11/2016,38.1945
3/14/2016,38.1088
3/15/2016,36.8234
3/16/2016,36.5834
3/17/2016,37.4747
3/18/2016,37.8346
3/21/2016,37.7917
3/22/2016,37.5861
3/23/2016,37.5861
3/24/2016,36.2492
3/29/2016,36.1121
3/30/2016,35.9836
3/31/2016,36.5834
4/1/2016,36.969
4/4/2016,36.6948
4/5/2016,35.9578
4/6/2016,36.2835
4/7/2016,36.8234
4/8/2016,37.0719
4/11/2016,37.946
4/12/2016,38.8458
4/13/2016,40.6025
4/14/2016,41.648
4/15/2016,41.3052
4/18/2016,40.6625
4/19/2016,42.2393
4/20/2016,43.9618
4/21/2016,45.033
4/22/2016,43.7047
4/26/2016,42.3679
4/27/2016,41.4938
4/28/2016,43.0963
4/29/2016,44.176
5/2/2016,44.9045
5/3/2016,44.3474
5/4/2016,41.0053
5/5/2016,41.1853
5/6/2016,40.9196
5/9/2016,40.0541
5/10/2016,38.9058
5/11/2016,39.4285
5/12/2016,39.3342
5/13/2016,38.2631
5/16/2016,38.7429
5/17/2016,39.3085
5/18/2016,39.2657
5/19/2016,37.9545
5/20/2016,38.5973
5/23/2016,37.706
5/24/2016,37.8774
5/25/2016,38.5887
5/26/2016,38.9743
5/27/2016,38.4173
5/30/2016,38.3659
5/31/2016,38.2973
6/1/2016,37.5261
6/2/2016,36.7634
6/3/2016,37.3118
6/6/2016,38.7515
6/7/2016,39.4542
6/8/2016,38.7087
6/9/2016,38.94
6/10/2016,37.7746
6/14/2016,37.2518
6/15/2016,36.8148
6/16/2016,36.8576
6/17/2016,37.209
6/20/2016,38.383
6/21/2016,37.886
6/22/2016,38.2031
6/23/2016,39.2486
6/24/2016,36.7034
6/27/2016,37.766
6/28/2016,37.8774
6/29/2016,38.4173
6/30/2016,38.9915
7/1/2016,39.4799
7/4/2016,40.9453
7/5/2016,40.9368
7/6/2016,40.1141
7/7/2016,40.6025
7/8/2016,41.3909
7/11/2016,42.4364
7/12/2016,42.3336
7/13/2016,43.5162
7/14/2016,43.0192
7/15/2016,43.3191
7/18/2016,42.9677
7/19/2016,41.9822
7/20/2016,41.1339
7/21/2016,41.5795
7/22/2016,41.4338
7/25/2016,41.2538
7/26/2016,41.7166
7/27/2016,42.505
7/28/2016,43.3962
7/29/2016,42.4707
8/1/2016,42.5907
8/2/2016,42.3422
8/3/2016,42.3507
8/4/2016,41.6652
8/5/2016,42.4364
8/8/2016,42.9506
8/9/2016,43.619
8/10/2016,43.3362
8/11/2016,43.3229
8/12/2016,43.349
8/15/2016,41.8675
8/16/2016,42.2335
8/17/2016,43.1922
8/18/2016,42.983
8/19/2016,43.3926
8/22/2016,42.8784
8/23/2016,42.7477
8/24/2016,43.4188
8/25/2016,42.7913
8/26/2016,42.5473
8/29/2016,42.2858
8/30/2016,42.617
8/31/2016,41.484
9/1/2016,40.9524
9/2/2016,41.3184
9/5/2016,41.9198
9/6/2016,42.2945
9/7/2016,41.9721
9/8/2016,41.85
9/9/2016,42.3555
9/12/2016,41.3184
9/13/2016,41.362
9/14/2016,40.8129
9/15/2016,41.0221
9/16/2016,40.6125
9/19/2016,40.5776
9/20/2016,41.179
9/21/2016,41.5276
9/22/2016,42.8784
9/23/2016,43.6366
9/26/2016,43.9068
9/27/2016,43.5844
9/28/2016,43.5756
9/29/2016,45.1879
9/30/2016,44.9788
10/3/2016,45.2315
10/4/2016,45.737
10/5/2016,45.2315
10/6/2016,45.5017
10/7/2016,45.3187
10/10/2016,45.4145
10/11/2016,46.3645
10/12/2016,46.1902
10/13/2016,44.9439
10/14/2016,44.4907
10/17/2016,44.116
10/18/2016,44.1073
10/19/2016,44.2206
10/20/2016,44.4123
10/21/2016,44.4036
10/24/2016,44.6476
10/25/2016,45.737
10/26/2016,46.5126
10/27/2016,46.4516
10/28/2016,46.8438
10/31/2016,47.2186
11/1/2016,47.236
11/2/2016,46.9745
11/3/2016,46.7479
11/4/2016,46.4603
11/7/2016,46.992
11/8/2016,47.7502
11/9/2016,46.8264
11/10/2016,50.661
11/11/2016,51.8986
11/14/2016,51.8027
11/15/2016,51.3757
11/16/2016,49.6239
11/17/2016,50.1904
11/18/2016,49.9987
11/21/2016,50.0161
11/22/2016,51.1317
11/23/2016,52.4215
11/24/2016,52.5522
11/25/2016,53.8246
11/28/2016,53.2059
11/29/2016,52.6307
11/30/2016,50.3299
12/1/2016,51.1578
12/2/2016,50.5826
12/5/2016,51.0794
12/6/2016,51.5413
12/7/2016,53.0141
12/8/2016,54.67
12/9/2016,54.6003
12/12/2016,54.7223
12/13/2016,53.3802
12/14/2016,53.1274
12/15/2016,52.3692
12/16/2016,51.672
12/19/2016,51.8986
12/20/2016,51.6458
12/21/2016,52.3954
12/22/2016,52.3692
12/23/2016,51.2188
12/28/2016,52.4389
12/29/2016,52.927
12/30/2016,52.2036
1/3/2017,53.1449
1/4/2017,52.6394
1/5/2017,52.7265
1/6/2017,52.4041
1/9/2017,51.7243
1/10/2017,52.2472
1/11/2017,54.2778
1/12/2017,54.792
1/13/2017,54.1122
1/16/2017,55.097
