Dates,PX_LAST
1/4/2016,1614.772
1/5/2016,1646.176
1/6/2016,1567.241
1/7/2016,1514.617
1/8/2016,1475.999
1/11/2016,1440.351
1/12/2016,1402.156
1/13/2016,1428.892
1/14/2016,1472.604
1/15/2016,1394.942
1/18/2016,1385.606
1/19/2016,1406.4
1/20/2016,1338.924
1/21/2016,1419.132
1/22/2016,1403.43
1/25/2016,1365.66
1/26/2016,1433.136
1/27/2016,1457.326
1/28/2016,1442.897
1/29/2016,1454.78
2/1/2016,1439.502
2/2/2016,1372.874
2/3/2016,1430.166
2/4/2016,1577.002
2/5/2016,1543.051
2/8/2016,1562.148
2/9/2016,1486.184
2/10/2016,1498.067
2/11/2016,1447.141
2/12/2016,1568.09
2/15/2016,1571.06
2/16/2016,1571.909
2/17/2016,1655.937
2/18/2016,1602.889
2/19/2016,1605.435
2/22/2016,1740.813
2/23/2016,1687.341
2/24/2016,1590.582
2/25/2016,1596.512
2/26/2016,1644.235
2/29/2016,1682.678
3/1/2016,1714.494
3/2/2016,1774.148
3/3/2016,1778.124
3/4/2016,1882.408
3/7/2016,1976.97
3/8/2016,1790.497
3/9/2016,1794.474
3/10/2016,1729.518
3/11/2016,1767.519
3/14/2016,1768.845
3/15/2016,1698.144
3/16/2016,1705.214
3/17/2016,1797.567
3/18/2016,1780.776
3/21/2016,1779.892
3/22/2016,1761.333
3/23/2016,1740.123
3/24/2016,1712.284
3/29/2016,1646.444
3/30/2016,1743.658
3/31/2016,1728.192
4/1/2016,1717.145
4/4/2016,1745.867
4/5/2016,1703.447
4/6/2016,1709.633
4/7/2016,1694.609
4/8/2016,1756.472
4/11/2016,1794.474
4/12/2016,1843.965
4/13/2016,1984.04
4/14/2016,1981.831
4/15/2016,1971.226
4/18/2016,2004.809
4/19/2016,2061.811
4/20/2016,2141.792
4/21/2016,2125
4/22/2016,2063.137
4/25/2016,1977.412
4/26/2016,1962.388
4/27/2016,1974.319
4/28/2016,2058.718
4/29/2016,2033.089
5/3/2016,1904.06
5/4/2016,1857.663
5/5/2016,1868.71
5/6/2016,1885.501
5/9/2016,1736.146
5/10/2016,1768.403
5/11/2016,1795.358
5/12/2016,1742.774
5/13/2016,1760.449
5/16/2016,1778.124
5/17/2016,1797.567
5/18/2016,1761.775
5/19/2016,1714.052
5/20/2016,1725.541
5/23/2016,1718.029
5/24/2016,1734.82
5/25/2016,1752.054
5/26/2016,1740.123
5/27/2016,1735.704
5/31/2016,1716.703
6/1/2016,1650.863
6/2/2016,1648.654
6/3/2016,1674.725
6/6/2016,1781.218
6/7/2016,1779.892
6/8/2016,1802.87
6/9/2016,1738.797
6/10/2016,1716.261
6/13/2016,1724.657
6/14/2016,1675.166
6/15/2016,1740.565
6/16/2016,1727.75
